행정구,개수
강남구,539
강동구,388
강북구,412
강서구,600
관악구,468
광진구,281
구로구,502
금천구,359
노원구,535
도봉구,367
동대문구,309
동작구,432
마포구,559
서대문구,457
서초구,624
성동구,446
성북구,605
송파구,429
양천구,321
영등포구,490
용산구,328
은평구,499
종로구,373
중구,201
중랑구,382
