"행정구","법정동","실거래가_mean"
"구로구","고척동",421.583333333333
"도봉구","방학동",418.550458715596
"도봉구","도봉동",407.901960784314
"금천구","가산동",406
"노원구","공릉동",394.965517241379
"중랑구","신내동",384.333333333333
"강북구","우이동",378.117647058824
"성북구","보문동6가",340
"노원구","하계동",327.4
"강서구","외발산동",325
"강서구","염창동",315
"성북구","동선동2가",209
