행정구,개수
강남구,33
강동구,13
강북구,11
강서구,22
관악구,4
광진구,11
구로구,13
금천구,4
노원구,17
도봉구,8
동대문구,15
동작구,17
마포구,21
서대문구,6
서초구,19
성동구,19
성북구,13
송파구,29
양천구,6
영등포구,19
용산구,18
은평구,16
종로구,15
중구,25
중랑구,16
